塩, Salt, 5, 08,,
生しょうが, Fresh ginger, 100, 08,,
アムステルダム旅行, Trip to Amsterdam, 50, 08,,
イタリア旅行, Trip to Italy, 50, 08,,
車購入資金100万円, 1 million yen to buy a car, 50, 08,,
「ボルボV40エステート」, _Volvo V40 Estate_, 50, 08,,
スクーター, Scooter, 50, 08,,
ボディボード, Bodyboard, 200, 08,,
クーラーボックス, Cooler box, 50, 08,,
ジャニーズJr 滝沢君使用済リング, Johnnys Jr. Takizawas used ring, 1, 08,,
広末涼子クリアファイル, Hirosue Ryoko clear file, 10, 08,,
広末涼子テレカ&ポスター, Hirosue Ryoko telephone card & poster, 1, 08,,
車のシート, Car seat, 1, 08,,
カーレース観戦チケット, Tickets to watch car races, 1, 08,,
フルーツジュースー, Fruit juice, 61, 08,,
キーボード, Keyboard, 50, 08,,
東京ディズニーランドパスポート, Tokyo Disneyland passport, 50, 08,,
包丁, Kitchen knife, 15, 08,,
ゲームソフト 「グラディウス外伝」他, Game software _Gradius Gaiden_ and other, 20, 08,,
枝豆, Edamame beans, 10, 08,,
ディズニー3Dアートボックス, Disney 3D art box, 5, 08,,
ドラえもんランチボックス, Doraemon lunch box, 5, 08,,
収納棚, Storage shelf, 5, 08,,
スナック菓子, Snacks, 420, 08,,
ラーメン, Ramen, 130, 08,,
スパゲティ, Spaghetti, 50, 08,,
あんみつ, Anmitsu, 55, 08, 10, 3000
炊飯器, Rice cooker, 1, 08,,
わかめご飯の素, Wakame rice seasoning, 10, 08,,
ケーキ, Cake, 10, 08,,
スポーツ飲料, Sports drink, 10, 08,,
栄養食品, Nutritional foods, 10, 08,,
トパーズの指輪, Topaz ring, 1, 08,,
育毛ブラシ, Hair growth brush, 10, 08,,
クイズ賞金1万円, Quiz prize money 10_000 yen, 5, 08,,
カウボーイハット, Cowboy hat, 1, 08,,
メロン, Melon, 50, 08,,
ジグゾーパズル, Jigsaw puzzle, 10, 08,,
室内用プラネタリウム, Indoor planetarium, 15, 08,,
野菜詰め合わせ, Vegetable assortment, 50, 08,,
広末涼子サイン入りTシャツ, Hirosue Ryoko autographed T-shirt, 1, 08,,
広末涼子サイン入り等身大ポスター, Hirosue Ryoko autographed life-size poster, 9, 08,,
ポテトスナック, Potato snacks, 250, 09, 10, 3000
ドライブルーベリー, Dried blueberries, 5, 09,,
プラモデル「ガンダム」, Plastic model _Gundam_, 1, 09,,
ラジカセ, Radio cassette player, 51, 09,,
タイヤ (4本), Tires (4 pieces), 1, 09, 12, 84000
ビデオ 「CM美少女15秒のシンデレラ」, Video _CM Bishoujo 15 Seconds of Cinderella_, 1, 09,,
モーニング娘。ステッカ, Morning Musume. Stickers, 1, 09,,
指輪, Rings, 1, 09,,
キャンディ, Candy, 5, 09,,
チョコスナック, Chocolate snacks, 50, 09,,
フライパン, Frying pan, 50, 09,,
ピングーのホットケーキパン, Pingus hotcake pan, 50, 09,,
万年筆一, Fountain pen, 15, 09,,
ディズニー3Dアートボックス, Disney 3D art box, 1, 09,,
K-1ジッポライタ, K-1 Zippo lighter, 1, 09,,
腕時計, Watch, 100, 09,,
馬刺し(300g), Horse meat sashimi (300g), 50, 09,,
和菓子, Japanese sweets, 50, 09,,
米(3kg), Rice (3kg), 50, 09,,
ビーフジャーキー, Beef jerky, 20, 09,,
ハチミツ, Honey, 5, 09,,
女性用水着, Womens swimsuit, 1, 09,,
商品券10万円, 100_000 yen gift certificate, 50, 09,,
パソコン, Computer, 200, 09,,
カーオーディオ, Car audio, 1, 09,,
宇宙ツアー参加費1_000万円分, Space tour participation fee 10 million yen, 50, 09,,
セガサターンゲームソフト10枚組, 10-disc set of Sega Saturn games, 1, 09,,
体脂肪計, Body fat meter, 25, 09,,
カリブ海旅行, Caribbean trip, 50, 09,,
アメリカメジャーリーグ観戦ツアー, American Major League Baseball Watching tour, 50, 09,,
アメリカスーパーボール観戦ツアー, American Super Bowl Watching tour, 50, 09,,
自転車, Bicycle, 1, 09,,
キティちゃんのクッション, Hello Kitty cushion, 1, 09,,
ぶどう, Grapes, 50, 09,,
ホテル宿泊券, Hotel accommodation voucher, 190, 09,,
