日本語, English, Entries, Entry Month, Prize Month, JPY, Category
バッグ, Bag, 4, 08,,
吉田里深 写真集, Yoshida Satomi photo book, 1, 08,,
ミッキーマウスの絵 OR クッション, Mickey Mouse picture OR Cushion, 1, 08,,
トースター, Toaster, 20, 08,,
ベンツOR ホンダ「キャバ」, Benz OR Honda _Cabaret_, 30, 08,,
パソコン用品, Computer supplies, 180, 08,,
オーディオセット, Audio set, 135, 08,,
三菱「パジェロミニ」, Mitsubishi _Pajero Mini_, 30, 08,,
スバル「レガシィ」, Subaru _Legacy_, 30, 08,,
梨 (5kg), Pear (5kg), 50, 08,,
F-1観戦ヨーロッパ旅行, F-1 European trip, 30, 08,,
ボストン旅行, Boston trip, 30, 08,,
ニューカレドニア旅行, New Caledonia trip, 30, 08,,
ベルギー&フランス旅行, Belgium & France trip, 30, 08,,
子供用クルマ型三輪車, Childrens car-shaped tricycle, 10, 08,,
マグカップ&皿, Mugs & plates, 10, 08,,
豆腐, Tofu, 10, 08,,
電気シェーバー, Electric shaver, 10, 08,,
世界一周航空券, Round-the-world ticket, 30, 08,,
カリブ海クルーズチケット, Caribbean cruise ticket, 60, 08,,
フィリピン旅行, Philippines trip, 30, 08,,
ラスベガス旅行, Las Vegas trip, 30, 08,,
ぬいぐるみ, Plush toys, 5, 08,,
カーナビ, Car navigation system, 50, 08, 09, 0
電動力氷器, Electric ice maker, 10, 08,,
ビデオ「ウルトラマンティガ&ウルトラマンダイナ」, Video _Ultraman Tiga & Ultraman Dyna_, 15, 08,,
男性用化粧品, Mens cosmetics, 5, 08,,
ゲームボーイライト, Game Boy Light, 1, 08,,
コードレス電話機, Cordless phone, 1, 08,,
麻雀牌OR腹筋マシーン, Mahjong tiles OR abdominal muscle machine, 1, 08,,
トヨタ「ビスタ」OR「アルティオリ」, Toyota _Vista_ OR _Altiori_, 100, 08,,
デジタルカメラ, Digital Camera, 131, 08,,
ニンテンドー64&ゲームソフト, Nintendo 64 & game software, 50, 08,,
ビザ無料交換チケット, Visa free exchange ticket, 5, 08,,
ヘッドホン, Headphones, 5, 08,,
空気清淨機, Air purifier, 1, 08,,
キャンピングセット, Camping set, 50, 08,,
旅行券(1万円分), Travel voucher (10_000 yen), 5, 08,,
ゲームソフト 「ポケットピカチュウ」, Game software _Pocket Pikachu_, 5, 08,,
テニスシューズ, Tennis shoes, 5, 08,,
野菜栽培セット, Vegetable cultivation set, 5, 08,,
もののけ姫CD, Princess Mononoke CD, 5, 08,,
双眼鏡, Binoculars, 5, 08,,
日産テラノ, Nissan Terrano, 50, 08,,
海鮮スナック, Seafood snacks, 55, 08,,
チャイルドシート, Child car seat, 1, 08,,
そば, Soba, 10, 08,,
食器乾燥器, Dish dryer, 50, 08,,
ゴルフボール, Golf ball, 5, 08,,
折りたたみイス, Folding chair, 5, 08,,
みそ, Miso, 50, 08,,
蒸し器, Steamer, 5, 08,,
ソーセージ, Sausage, 5, 08,,
カレー, Curry, 5, 08,,
栄養ビスケット, Nutritional biscuits, 5, 08,,
スナック菓子, Snacks, 15, 08,,
ふりかけ, Furikake, 6, 08,,
パン用調味料, Bread seasoning, 1, 08,,
ドレッシング, Dressing, 1, 08,,
野菜ジュース, Vegetable juice, 1, 08,,
図書券 (5千円分), Book voucher (5_000 yen), 1, 08,,
ともさかりえ使用済みワンピース, Tomosaka Rie used one-piece, 1, 08,,
広末涼子使用済みTシャツ, Hirosue Ryoko used T-shirt, 1, 08,,
広末涼子テレカ, Hirosue Ryoko phone card, 1, 08,,
広末涼子ノベルティバッグ, Hirosue Ryoko novelty bag, 3, 08,,
広末涼子等身大ポスター, Hirosue Ryoko life-size poster, 1, 08,,
ユーラシア大陸横断片道チケット, Ticket for the Eurasian continental fragmentation road, 75, 08,,
ステレオ, Stereo, 30, 08,,
DVDプレイヤー, DVD player, 30, 08,,
MDプレイヤー, MD player, 30, 08,,
ヘッドホン, Headphones, 30, 08, 09,
ゴーグル型テレビー, Goggle-type TV, 30, 08,,
角田智美テレカ, Kakuta Tomomi phone card, 1, 08,,
吉田里深テレカ, Yoshida Satomi phone card, 1, 08,,
ゲームソフト「夢色いろ」, Game software _Yumeiroiro_, 1, 08,,
電動歯ブラシ, Electric toothbrush, 100, 08,,
缶ジュース, Canned juice, 5, 08,,
男性用化粧品, Mens cosmetics, 5, 08,,
ボードゲーム 「人生ゲーム平成版X」, Board game _Game of Life Heisei version X_, 1, 08,,
サンダル, Sandals, 50, 08,,
米「宮崎コシヒカリ」(3kg), Rice _Miyazaki Koshihikari_ (3kg), 100, 08,,
アイスクリーム, Ice cream, 55, 08,,
ガラス, Glass, 50, 08,,
そば, Soba, 50, 08,,
麺つゆ, Noodle soup, 50, 08,,
昆布だし, Kombu dashi, 50, 08,,
ビーフジャーキー・, Beef jerky, 50, 08,,
ゲーム「あつめてゴジラ」, Game _Godzilla Collection_, 5, 08,,
しょうゆ, Soy sauce, 5, 08,,
エアーマット, Air mattress, 50, 08,,
トヨタ「セリカ｣・, Toyota _Celica_, 50, 08,,
FAX, Fax, 100, 08,,
カーオーディオー, Car audio, 50, 08,,
テレビ電話, Videophone, 50, 08,,
ドコモ「モバイル・ギア」, Docomo _Mobile Gear_, 50, 08,,
ポケットベル, Pager, 10, 08,,
ビデオ「船木誠勝VSガイ・メッツァー」, Video _Funaki Masakatsu VS Guy Metzer_, 1, 08,,
森ひろこテレカ, Mori Hiroko phone card, 1, 08,,
松田 純テレカ, Matsuda Pure telephone card, 1, 08,,
CDプレイヤー, CD player, 1, 08,,
ガンダムテレカ, Gundam telephone card, 5, 08,,
ひげ剃り, Shaver, 5, 08,,
